Month,Division,PEMT Transports,Average Transport Charge,Direct Cost Per Transport,Total Operational Cost,PEMT Supplemental Revenue,Average Dispatch Delay (sec),Chute Time Duration (min),Direct Transport Time (min),Scene Care Time (min)
May 2025,West Division,46,872,640,29440,11984,52,2.5,21.2,15.5
May 2025,West Division,53,975,781,41393,10553,76,2.9,19.9,14.1
June 2025,North Division,113,779,562,63506,21494,50,1.7,16.8,17.2
July 2025,East Division,199,977,610,121390,53345,39,1.7,12.5,17.2
July 2025,East Division,164,973,631,103484,45884,35,1.7,9.9,17.7
July 2025,East Division,193,891,587,113291,47130,42,1.1,10.2,20.3
July 2025,East Division,200,901,588,117600,53196,47,1.9,9.6,20
July 2025,Metro Central,353,1202,706,249218,128921,25,1.3,9.4,24.6
July 2025,North Division,155,873,602,93310,39940,46,2.1,12.5,18.2
July 2025,South Division,141,762,531,74871,23219,62,2.6,18,14.3
August 2025,North Division,160,915,531,84960,40084,41,2.2,12.9,20.1
August 2025,South Division,110,703,473,52030,16957,63,1.6,16.6,17.7
September 2025,East Division,125,852,583,72875,28966,29,1.2,9,18.2
September 2025,East Division,158,916,629,99382,42957,39,1.5,11.1,20.8
September 2025,South Division,81,731,486,39366,12723,58,1.5,15.5,17.8
September 2025,South Division,80,791,519,41520,17133,58,1.8,15.5,16.4
September 2025,South Division,71,773,426,30246,17388,63,2,18.4,14.2
October 2025,North Division,111,885,496,55056,28314,50,1.5,15.9,20.7
October 2025,North Division,96,848,539,51744,20911,36,1.9,17.1,20.6
October 2025,West Division,60,1027,697,41820,18742,56,2.9,27.7,15.9
October 2025,West Division,54,986,667,36018,15550,81,2.1,25.5,14.1
November 2025,Metro Central,250,1092,657,164250,78257,24,1.4,8.4,23.8
November 2025,North Division,121,808,612,74052,24423,45,1.8,17.3,19.9
November 2025,North Division,142,826,585,83070,24295,42,1.3,13.9,17.4
November 2025,North Division,137,864,588,80556,32895,35,1.6,14.8,16.3
December 2025,North Division,199,892,571,113629,54432,34,1.6,14.8,19.9
December 2025,West Division,90,929,690,62100,21966,60,2,20.7,14.9
January 2026,Metro Central,369,1199,632,233208,113991,28,0.9,7.3,19.7
January 2026,North Division,183,809,580,106140,39835,45,1.8,12.8,19.6
February 2026,West Division,60,976,738,44280,16803,51,3.1,27.8,17
March 2026,Metro Central,351,1208,657,230607,138011,31,0.9,8.9,25.2
March 2026,Metro Central,241,995,744,179304,51520,33,1.2,7.8,20.9
March 2026,South Division,86,718,512,44032,15518,62,1.5,13.3,15.1
March 2026,South Division,96,796,487,46752,22897,63,2.4,18,17.5
April 2026,North Division,118,788,554,65372,21905,50,2.1,15.9,19.5
May 2026,Metro Central,277,1029,635,175895,69423,24,1.5,9.2,25.3
May 2026,South Division,93,830,490,45570,23696,45,1.6,17.8,16.9
June 2026,Metro Central,335,1122,644,215740,99823,27,1.3,9.4,24.1
June 2026,Metro Central,241,1176,758,182678,60748,25,1,9.1,20
June 2026,Metro Central,262,1072,726,190212,80034,32,1.1,10,25.3
June 2026,North Division,105,890,501,52605,29899,49,1.3,15.5,15.6
June 2026,South Division,84,821,504,42336,16015,63,1.8,17.3,14.6
June 2026,West Division,70,1017,734,51380,17626,76,2.4,26.1,16.2
